Device,Wattage (W),Quantity,Hours/Day,Days/Month,Energy (kWh/Month)
Projector,1352,12,5.2,24,2025.56
Printer,1897,2,10.2,23,886.71
Printer,942,5,8.7,17,697.73
Water Cooler,1411,8,3.6,18,739.28
Heater,1139,3,5.8,11,217.89
Computer,1916,9,1.6,25,679.33
Fridge,1719,14,6.5,23,3581.94
Fridge,1417,9,11.4,19,2753.45
Tube Light,787,14,9.7,14,1489.44
Smartboard,1600,18,7.8,28,6260.8
Heater,728,8,2.7,11,171.59
Water Cooler,209,20,8.1,11,373.13
Printer,1532,1,7.2,10,110.97
WiFi Router,1966,13,3.9,26,2619.01
Computer,564,16,3.7,27,903.51
WiFi Router,1349,4,8.1,11,478.77
Computer,590,17,8.9,27,2416.02
Lab Equipment,1049,17,7.9,22,3097.59
AC (1.5 Ton),1952,18,8,24,6784.35
Heater,552,14,10.6,10,820.07
Fridge,886,18,4.9,23,1790.69
Lab Equipment,1348,2,8.5,30,691.42
Computer,489,9,4.8,19,400.65
Smartboard,1475,2,4.3,28,352.96
Lab Equipment,1896,5,9.9,30,2806.16
Heater,681,5,9.4,14,449.83
AC (1.5 Ton),769,17,3.3,18,782.33
Fridge,1665,11,1.6,17,487.07
Computer,296,17,6.9,28,969.89
Tube Light,1746,1,8.2,19,271.58
Smartboard,887,12,8.6,16,1472.39
WiFi Router,695,12,10.2,11,931.2
Fridge,1961,8,4,30,1878.12
Ceiling Fan,672,4,8,10,214.46
Projector,238,1,6.6,15,23.43
Ceiling Fan,603,20,5.4,25,1625.18
Projector,351,7,9.7,19,451.21
Ceiling Fan,1186,5,9.4,26,1451.86
LED Light,86,1,6.1,19,9.92
LED Light,96,9,4.8,28,116.89
WiFi Router,1891,1,9.1,13,223.12
AC (1.5 Ton),1203,15,1.9,15,512.84
AC (1.5 Ton),105,16,9.4,21,331.63
Projector,916,11,11.5,25,2893.55
Tube Light,1015,9,3,12,326.76
Ceiling Fan,733,2,3.6,18,95.57
Heater,750,10,3.8,27,773.53
LED Light,449,4,5,12,108.38
Ceiling Fan,1597,13,6.5,21,2827.5
LED Light,148,3,2.4,17,18.06
Tube Light,1783,2,6.5,10,232
LED Light,277,19,7.5,26,1031.5
Water Cooler,837,7,2.6,21,314.92
LED Light,854,4,10.3,22,772.27
Printer,1021,3,1.6,16,80.2
Fridge,1075,2,1.3,14,40.53
Printer,1362,3,8.5,21,733.12
Lab Equipment,1872,2,10.4,24,935.17
WiFi Router,1504,17,2.3,13,766.12
WiFi Router,1928,12,10.1,10,2335.82
WiFi Router,1292,9,7,23,1872.9
AC (1.5 Ton),1487,19,1.9,22,1168.38
Projector,1058,13,6.2,12,1023.53
Printer,949,6,3.8,17,366.86
LED Light,1389,15,9.1,21,3969.75
Water Cooler,190,14,9.7,20,516.16
Lab Equipment,689,11,8.7,24,1587.77
Smartboard,1333,7,10.9,10,1020.2
LED Light,1835,16,2.9,25,2135.32
Printer,1139,17,1,18,352.43
Printer,737,17,9.8,11,1347.1
Projector,1478,20,4.3,27,3459.75
Lab Equipment,1780,1,9.3,24,396.69
Ceiling Fan,188,6,3.9,20,87.56
AC (1.5 Ton),949,12,4,19,875.21
Computer,349,1,2.3,24,18.95
LED Light,590,17,11,12,1321.95
Tube Light,1576,1,7.3,19,219.46
Water Cooler,87,2,1.4,21,5.18
Water Cooler,527,1,6.3,22,73.51
Fridge,1761,19,5.4,10,1798.74
Computer,140,4,5.4,21,62.95
Water Cooler,1045,13,3.9,15,788.5
Printer,70,12,6.5,11,59.92
AC (1.5 Ton),1671,17,4.7,29,3876.68
Heater,711,8,4.5,16,413.92
Tube Light,63,11,6.7,25,115.4
Smartboard,959,20,5.9,21,2362.09
WiFi Router,1218,12,4.5,15,988.75
Lab Equipment,1884,14,5.6,21,3079.27
Lab Equipment,1730,18,4.2,12,1563.26
LED Light,637,1,1.5,12,11.3
Heater,43,14,4.6,26,72.22
Printer,1346,11,3.6,18,950.84
Projector,1297,4,9.4,28,1358.48
Tube Light,982,16,11.2,23,4048.79
AC (1.5 Ton),264,4,3.7,27,104.61
Projector,1197,5,3.6,29,619.49
Lab Equipment,772,3,6.3,10,147.01
AC (1.5 Ton),1521,2,3.6,10,110.32
Projector,1297,1,5.3,28,191.78
Computer,499,19,5.2,18,883.41
Lab Equipment,1015,12,10.3,25,3130.56
Smartboard,1308,15,10.2,30,5974.9
Fridge,40,2,9.1,22,15.96
WiFi Router,1501,11,1.2,29,584.99
Computer,577,11,5.2,10,329.76
Printer,132,14,10.8,28,557.95
Smartboard,767,1,10.3,26,206.31
AC (1.5 Ton),1909,6,7.8,12,1067.43
Smartboard,1283,6,9.9,27,2061.33
Computer,681,8,3.6,12,232.52
WiFi Router,282,18,8.6,11,482.85
WiFi Router,1935,12,6.6,16,2448.59
Smartboard,1784,17,4.8,27,3939.69
Printer,1222,4,5.6,23,623.99
Fridge,827,9,2.3,12,202.31
Heater,664,1,10.6,11,77.58
WiFi Router,130,19,4,11,108.69
Smartboard,1931,9,5.5,11,1042.4
Heater,1290,20,11.1,17,4866.93
Fridge,1959,14,3.1,23,1937.77
Computer,456,4,1.5,30,80.7
AC (1.5 Ton),732,18,9.9,19,2477.52
Fridge,897,6,11.2,28,1684.13
WiFi Router,122,15,2.9,20,104.58
Ceiling Fan,588,12,3.7,20,526.43
Projector,853,9,6.2,17,812.22
Computer,1937,8,5.8,17,1518.06
Smartboard,1922,12,9.4,19,4107.73
Tube Light,1943,18,11.9,25,10364.97
AC (1.5 Ton),1990,14,6.3,30,5252.65
Projector,918,10,6.1,25,1396.88
LED Light,447,1,9.8,24,104.85
Printer,1143,5,4.2,12,290.67
Smartboard,772,14,11.3,17,2079.29
Lab Equipment,1622,12,6.2,22,2669.63
Smartboard,70,10,3.9,15,40.74
Smartboard,1155,14,6.3,22,2248.07
Computer,503,4,8.7,24,420.09
LED Light,1325,4,9.4,10,499.93
Computer,92,5,8.9,19,78.11
WiFi Router,1847,4,5.7,17,715.88
Computer,1280,11,10.5,17,2506.46
Printer,628,18,1.9,12,255.63
Water Cooler,781,16,7.4,10,928.01
Heater,680,4,7.4,15,302.78
Fridge,1619,1,8.5,12,165.8
AC (1.5 Ton),1728,7,7,20,1682.63
Printer,425,3,4.7,17,101.63
Heater,467,12,8.7,10,489.25
Tube Light,38,3,11.2,12,15.34
Printer,1545,15,9.7,21,4733.83
LED Light,415,10,10.6,18,791.78
Heater,384,10,9.7,12,449.1
Tube Light,1300,11,1.8,12,306.71
AC (1.5 Ton),1298,12,2.8,24,1046.87
AC (1.5 Ton),322,13,8,24,808.16
Ceiling Fan,214,15,6.6,26,547.32
Ceiling Fan,1286,2,5.7,23,335.15
WiFi Router,1499,20,9.5,26,7390.1
Heater,789,15,9.2,16,1750.27
LED Light,1235,1,6.5,12,96.89
Water Cooler,112,6,7.9,21,110.85
Water Cooler,679,17,11.8,23,3126.24
Lab Equipment,407,8,7.4,13,312.5
Tube Light,96,8,7.8,13,77.41
Printer,1620,5,10.1,20,1639.41
Computer,1958,15,7.3,18,3874.21
Smartboard,654,12,5.9,10,461.21
Fridge,31,20,8.4,23,119.94
Smartboard,352,1,6.3,10,22.23
Printer,119,9,1,28,30.12
LED Light,1394,3,4.8,19,381.73
WiFi Router,1242,8,11.5,29,3320.43
LED Light,1616,4,7.4,24,1140.27
Fridge,113,1,9.3,17,17.82
Printer,1646,2,7.9,11,286.6
Tube Light,735,5,5.6,20,414.25
Ceiling Fan,73,4,7.6,27,60.25
Smartboard,928,2,6.2,30,346.74
Heater,596,3,7.9,26,369.28
Tube Light,395,12,3.3,24,373.73
Printer,1759,12,1.1,25,579.12
Heater,601,8,9.4,30,1360.78
Projector,140,17,7.5,30,537.87
WiFi Router,1862,9,2.9,16,778.29
AC (1.5 Ton),481,3,9.9,16,229.09
AC (1.5 Ton),75,20,3.4,30,152.25
Lab Equipment,905,11,11.8,18,2105.78
Projector,1497,14,7,20,2950.53
AC (1.5 Ton),523,4,11.5,25,600.95
Smartboard,333,13,5.4,12,280.75
Projector,1656,5,3.3,19,523.18
Heater,919,13,7.6,14,1270.94
Heater,1317,9,11,11,1429.18
Fridge,688,18,3.1,26,991.04
Fridge,1932,6,3.3,20,763.22
Smartboard,1331,18,3.6,11,943.84
Water Cooler,250,9,5.4,19,230.24
Water Cooler,736,15,10,15,1657.48
Heater,698,5,10.8,13,492.22
Projector,825,19,9.1,16,2279.82
WiFi Router,1702,19,10.8,18,6261.12
Lab Equipment,1941,6,11,24,3081.45
Printer,597,15,9,14,1134.56
Heater,952,10,11,21,2205.1
Tube Light,45,2,10.9,29,28.35
AC (1.5 Ton),1303,20,3,16,1240.81
Projector,1591,12,10.8,23,4741.66
Fridge,1169,12,11.7,30,4928.82
Computer,1490,12,7.4,25,3314.99
Smartboard,1057,8,3.5,14,413.59
AC (1.5 Ton),1840,8,3.4,16,803.19
AC (1.5 Ton),687,12,10.5,27,2334.19
Heater,1580,5,8.9,18,1269.56
Lab Equipment,1991,2,9.9,24,949.63
Ceiling Fan,611,16,7.9,25,1921.78
Tube Light,1508,1,3,30,136.4
Printer,132,14,1.2,24,51.53
Projector,1142,17,3,16,925.49
LED Light,1926,9,8.8,20,3052.93
Computer,377,6,10.3,30,701.48
Printer,384,7,6.7,28,503.9
Ceiling Fan,1370,7,9.3,17,1516.09
Lab Equipment,66,17,10.5,14,164.37
Tube Light,368,13,1.5,25,178.11
Lab Equipment,1497,17,3.7,17,1614.27
Printer,585,4,9.2,11,237.17
Smartboard,1959,16,6,30,5636.37
AC (1.5 Ton),255,2,10.3,25,131.94
Fridge,541,8,11.8,23,1175.73
Lab Equipment,1718,2,2.7,21,195.45
AC (1.5 Ton),1455,13,6.8,21,2698.45
LED Light,751,13,2.8,12,331.46
Tube Light,730,7,2.2,12,132.42
Computer,10,6,1.6,29,2.86
Printer,304,10,4.1,16,199.7
Projector,1480,3,10,10,443.09
Ceiling Fan,1102,9,2.5,27,669.34
Projector,1924,19,2.5,21,1952.3
Tube Light,1582,9,3.2,10,457.89
Computer,155,16,8.3,23,472.11
Ceiling Fan,1115,4,9.5,27,1144.84
AC (1.5 Ton),1184,12,8.8,12,1503.13
Lab Equipment,476,14,10,14,933.78
Lab Equipment,1563,19,3,22,1982.65
Heater,1976,11,7.2,20,3129.59
Heater,1955,16,1.9,24,1439.77
Smartboard,1375,5,8.1,30,1668.41
Computer,1702,2,8.5,27,784.72
Smartboard,1197,10,12,12,1720.57
Projector,1573,15,1.5,21,751.08
Printer,877,18,3.7,14,811.05
Projector,171,2,7.6,29,75.66
Ceiling Fan,1854,10,8.4,26,4067.84
Ceiling Fan,260,11,1.7,27,134.54
Tube Light,430,18,3.5,23,631.59
Heater,1868,1,4.9,20,182.43
WiFi Router,1718,3,8.3,23,987.51
Computer,272,6,6.7,20,219.18
Projector,655,15,5.7,28,1566.55
Lab Equipment,222,14,2.4,28,207.96
Heater,1155,18,1.8,19,730.77
Heater,644,4,3.4,19,166.95
Smartboard,492,16,1.1,28,244.66
Tube Light,824,17,9.4,25,3280.64
Ceiling Fan,1077,20,8.7,20,3730.97
Computer,59,1,5.4,14,4.5
Lab Equipment,1160,7,6.4,17,878.9
Water Cooler,1068,7,2.3,18,303.55
Lab Equipment,757,17,4.4,29,1624.59
Computer,418,4,3.7,15,92.14
Lab Equipment,1311,5,5.4,29,1036.02
Projector,999,12,4.5,27,1472.08
Lab Equipment,676,9,9.3,10,567.47
WiFi Router,1718,5,5.1,28,1237.74
Computer,1829,12,9.2,14,2826.68
Lab Equipment,1287,6,2.4,11,206.22
Heater,454,1,8.1,19,69.66
Computer,1577,20,6.4,10,2004.05
AC (1.5 Ton),803,6,1.9,11,98.19
Tube Light,1605,5,3.7,15,440.2
Lab Equipment,973,11,9.9,16,1691.59
AC (1.5 Ton),1871,11,11.2,25,5767.8
LED Light,556,2,7.1,23,182.2
Tube Light,892,7,1,11,69.08
Computer,1559,5,8.1,23,1452.32
Printer,509,13,4.6,12,364.02
LED Light,322,20,11.3,27,1969.26
AC (1.5 Ton),1189,7,9.7,17,1369.73
Ceiling Fan,1616,2,8.2,26,692.26
Printer,73,7,8.4,23,98.24
Computer,882,15,8.4,22,2432.05
Tube Light,36,8,7.3,25,52.26
Printer,1669,13,6.4,22,3052.65
AC (1.5 Ton),910,12,11.5,20,2514.94
AC (1.5 Ton),1739,19,3.6,13,1542.98
Printer,1392,2,10.2,16,453.29
Smartboard,1689,7,8.1,13,1249.21
Water Cooler,176,14,6.1,13,194.65
Tube Light,1635,9,11.8,21,3649.19
Smartboard,1222,9,4.4,14,679.95
Computer,483,11,5.3,30,837.15
Projector,1050,5,7.4,17,659.1
Printer,1431,14,2.2,24,1053.6
Lab Equipment,1220,20,5.8,11,1546.12
LED Light,1352,4,7.1,11,419.84
Computer,315,12,4.8,18,324.2
Heater,1497,8,2.4,10,289.78
LED Light,813,10,10.7,22,1917.74
Lab Equipment,1689,11,2.2,11,444.51
Projector,1730,8,7.6,16,1690.6
Projector,785,13,11.5,16,1871.03
AC (1.5 Ton),383,3,4.3,14,69.2
LED Light,599,11,1.8,16,193.42
Water Cooler,753,19,8.3,30,3579.4
Smartboard,982,10,10.8,15,1588.19
AC (1.5 Ton),1867,15,2.6,27,1968.39
Fridge,1983,11,7.8,10,1702.03
Tube Light,1066,1,2.2,14,32.18
WiFi Router,1207,9,11.5,19,2367.81
Computer,1513,4,3,10,182.06
Water Cooler,93,14,9.4,20,245.68
Water Cooler,227,6,3.1,16,66.98
Heater,1871,9,4.6,12,935.06
Printer,1306,11,2.6,30,1135.06
Ceiling Fan,1726,10,1.1,16,313.55
Fridge,945,1,4.7,25,112.05
Computer,57,1,1.3,14,1.03
Smartboard,1636,6,5.8,15,858.78
Fridge,1155,6,6.1,11,467.78
Printer,1320,14,3.9,23,1654.14
Projector,949,19,11.7,12,2538.37
LED Light,302,15,9.2,28,1170.64
Smartboard,920,17,9.3,14,2040.52
Water Cooler,872,19,8.6,14,1990.31
Lab Equipment,1069,14,1.4,21,438.38
LED Light,1223,2,7.1,27,466.61
Smartboard,528,8,1.3,22,122.86
Ceiling Fan,1502,4,6.1,17,626.17
LED Light,1297,2,4.9,14,176.69
LED Light,1023,19,9.5,19,3499.13
Tube Light,1763,1,2.3,17,67.94
Fridge,1869,18,5,17,2856.07
Computer,223,17,4.2,15,241.37
WiFi Router,1264,18,10.4,16,3782.56
Computer,1207,18,12,25,6507.73
Fridge,1501,18,7,21,3946.95
Water Cooler,1479,9,9.6,20,2544.81
Fridge,810,1,10.1,22,180.45
AC (1.5 Ton),1209,18,4.9,14,1502.9
Computer,1051,15,11.7,25,4613.9
Tube Light,1359,18,5.7,26,3641.63
Computer,1679,4,9,29,1754.86
Projector,520,1,6.4,28,93.6
WiFi Router,579,10,6.8,25,990.63
Lab Equipment,1825,2,11.9,23,1001.98
Smartboard,141,11,3.7,21,120.71
Smartboard,853,16,4,15,817.06
Tube Light,461,14,5.9,15,569.34
Smartboard,1435,19,9.2,25,6238.46
Computer,1112,3,3.7,14,172.66
AC (1.5 Ton),1881,3,11.3,13,827.28
Fridge,998,18,10.6,26,4955.26
Fridge,1777,13,11.4,28,7346.49
Tube Light,1508,11,4.4,20,1444.45
Water Cooler,194,13,2.1,13,68.85
Fridge,1522,9,4.8,13,856.85
Tube Light,996,20,7.2,23,3301.91
Fridge,851,7,6.5,18,691.81
Projector,326,12,6,25,586.84
Lab Equipment,1965,3,9.3,27,1484.49
Printer,1482,11,10,23,3753.3
Tube Light,1612,18,6.4,27,4996.71
Lab Equipment,1397,7,11.5,30,3379.49
Computer,1959,13,3.4,29,2532.68
AC (1.5 Ton),859,3,2.4,25,151.58
Water Cooler,1457,9,8.5,30,3341.08
Ceiling Fan,785,17,8.2,13,1418.32
Lab Equipment,1944,17,5.7,21,3984.55
Lab Equipment,1311,20,5.5,30,4288.91
Fridge,1858,5,9.5,30,2644.84
WiFi Router,1727,1,1.7,15,44.79
Projector,1782,6,8.7,11,1025.86
LED Light,1504,6,5.8,10,523.3
Printer,652,8,6.6,20,692.25
Fridge,214,11,1.9,27,120.54
Printer,509,7,10,25,886.68
Printer,714,6,3.6,13,199.58
AC (1.5 Ton),379,6,1.1,26,65.16
WiFi Router,313,17,5.3,13,368.96
Smartboard,607,14,6.2,26,1370.26
Heater,1761,1,4.8,26,217.63
WiFi Router,1481,14,9,20,3740.41
Ceiling Fan,730,1,4.7,21,72.68
Tube Light,1864,16,2.8,28,2348.65
LED Light,1008,12,9.9,11,1317.4
Computer,893,7,9.5,27,1607.07
Printer,663,17,2.6,10,289.26
WiFi Router,280,10,11.3,29,919.45
Projector,311,17,1.8,20,190.96
WiFi Router,1226,16,10.6,27,5615.17
Projector,1558,20,9.5,21,6200.72
WiFi Router,1232,9,8.9,14,1379.9
AC (1.5 Ton),1287,1,11.2,13,187.11
Computer,926,4,11.9,13,573.33
Heater,975,18,2.6,28,1281.04
Computer,1465,3,10.5,14,647.94
Tube Light,1884,18,5.6,29,5517.24
Smartboard,1253,1,3,20,74.56
Tube Light,309,17,9.2,12,578.14
Smartboard,1021,17,9,24,3750.94
Printer,182,14,4.6,25,294.14
Tube Light,1158,13,5.1,19,1462.08
AC (1.5 Ton),994,13,8.1,25,2615.82
AC (1.5 Ton),779,11,7.5,15,966.98
Water Cooler,796,4,1.4,10,43.23
Ceiling Fan,697,1,1.4,25,24.18
Heater,1528,8,6.5,25,1984.31
Projector,613,18,11.4,22,2758.36
Fridge,1471,19,10,30,8415.78
Projector,770,13,2.5,22,541.43
Smartboard,260,9,2.7,10,63.83
Tube Light,1754,18,3.6,23,2598.48
Computer,1888,12,6.2,24,3353.96
Printer,1115,7,9.1,16,1132.03
WiFi Router,1696,13,3,12,802.3
Lab Equipment,1819,9,10.8,20,3545.03
Heater,579,14,5.5,30,1343.31
LED Light,1805,13,8.4,10,1964.84
Smartboard,1293,1,9.2,28,331.32
Water Cooler,1978,5,1.5,29,433.65
Lab Equipment,1610,6,6.6,24,1522.83
AC (1.5 Ton),774,1,3.5,18,49.07
Computer,1225,14,5.1,22,1938.26
Computer,139,13,7.3,30,394.44
Lab Equipment,1100,11,10.3,18,2234.94
Heater,517,10,11.4,10,590.16
Computer,1382,5,11.7,12,966.43
LED Light,1527,4,11,25,1684.55
Printer,1799,9,8.2,10,1321.84
Smartboard,838,12,7.6,14,1063.69
Fridge,288,2,4,28,65.32
Computer,65,5,1.7,14,7.85
WiFi Router,1833,4,2.2,22,355.42
LED Light,1570,17,7.4,25,4943.81
Computer,820,16,1.2,29,440.41
WiFi Router,1934,11,7.5,12,1917.57
Ceiling Fan,1230,5,10.7,29,1900.08
Fridge,1067,5,5.4,15,433.95
Fridge,700,6,3.3,12,165.22
Tube Light,121,19,10.3,17,404.25
AC (1.5 Ton),959,17,5.9,25,2387.22
Heater,909,18,8.3,10,1353.85
Water Cooler,1550,14,9.3,21,4252.52
Smartboard,1315,1,9.9,20,261.1
Lab Equipment,1041,20,4.7,30,2915.09
Fridge,1332,14,2.1,29,1130.18
Lab Equipment,446,11,2.5,20,246.17
LED Light,45,16,6.2,18,79.81
Printer,556,4,7.7,12,204.69
Computer,231,17,5.6,17,373.11
Smartboard,1234,13,8.1,27,3489.12
AC (1.5 Ton),1700,17,10.8,30,9382.49
Ceiling Fan,495,18,1.7,17,251.93
Tube Light,845,14,6.9,11,898.41
AC (1.5 Ton),275,19,1.2,10,61.23
Fridge,816,7,10.6,30,1815.85
Smartboard,1971,11,5.2,25,2810.01
WiFi Router,1038,11,5.9,24,1615.09
Water Cooler,1492,9,5.6,20,1515.42
Tube Light,1461,10,3.5,17,866.45
Tube Light,664,8,4.3,28,641.26
Ceiling Fan,505,14,1.3,10,95.24
Smartboard,279,3,7.4,18,111.39
Water Cooler,1264,11,2.4,27,895.86
Heater,1114,4,8.2,12,441.14
Lab Equipment,1405,8,2.9,15,481.52
Fridge,1801,1,9,30,483.64
Computer,1851,17,8.3,21,5462.16
LED Light,1731,9,4,23,1448.07
AC (1.5 Ton),1955,12,10.1,12,2850.24
Printer,1615,1,8.4,14,190.95
Lab Equipment,1927,4,1.6,26,329.23
Fridge,1094,11,8.7,18,1881.61
Tube Light,1324,7,4.9,18,814.49
Lab Equipment,1402,20,1.6,17,786.21
Ceiling Fan,1458,4,5.8,19,638.78
Tube Light,454,10,1,20,91.7
LED Light,496,13,10.6,18,1229.58
Smartboard,82,19,4.6,20,143.03
Fridge,1456,12,7.9,18,2490.21
Water Cooler,70,7,8.1,29,114.93
Ceiling Fan,1772,11,10.7,16,3339.2
Printer,1878,6,6.1,16,1095.74
Heater,597,5,1.8,22,118.72
LED Light,1944,15,10,14,4077.83
LED Light,1410,9,5.7,27,1944.19
AC (1.5 Ton),1675,2,3.4,23,260.71
Lab Equipment,1461,17,11.1,14,3856.94
Printer,92,13,4.7,26,144.76
WiFi Router,1830,12,8.3,30,5455.31
Projector,122,7,12,20,204.21
Projector,1068,1,9.5,17,171.61
Smartboard,656,19,2.3,17,491.41
LED Light,1843,3,4.9,13,353.43
Printer,1786,4,1,29,208.97
Tube Light,508,4,9.1,19,352.43
WiFi Router,1443,13,2.5,26,1233.6
Projector,1806,20,11.4,12,4945.75
Computer,1294,14,9.1,29,4799.12
Ceiling Fan,1388,4,8.8,13,634.36
Fridge,1356,2,6.4,25,434.9
Ceiling Fan,1159,10,1.7,14,273.57
Ceiling Fan,1564,13,1.3,11,281.96
LED Light,1049,18,9.6,15,2725.31
Computer,650,19,7.6,19,1786.07
Fridge,1045,20,9.4,27,5310.9
Lab Equipment,518,14,5.3,18,691.54
Heater,1759,3,5.9,20,621.17
Ceiling Fan,878,18,7.5,21,2496.9
Smartboard,1596,15,11.3,19,5133.97
Fridge,117,17,5.2,10,103.07
AC (1.5 Ton),1460,7,2.9,29,870.42
Lab Equipment,1565,19,11.5,14,4771.96
WiFi Router,274,3,2.5,15,31.43
Fridge,1348,18,7.3,28,4969.26
Projector,523,11,3,29,493.66
Smartboard,1659,3,6.7,23,769.77
Smartboard,1829,15,5.8,21,3358.53
Fridge,472,16,9.7,26,1899.86
Ceiling Fan,1652,9,6.5,18,1737.42
Fridge,1399,15,11.6,18,4364.68
Ceiling Fan,224,5,1.6,18,31.29
Water Cooler,1966,1,4.6,11,100.4
Tube Light,1440,18,8.2,24,5075.17
Ceiling Fan,1126,16,11.9,16,3438.66
Ceiling Fan,1470,3,7.9,28,975.52
LED Light,1138,6,2.8,30,570.73
Smartboard,1068,3,9.2,27,796.11
Tube Light,692,6,3.7,15,227.41
Ceiling Fan,1522,4,6.2,17,642.01
Smartboard,1573,3,3.4,18,289.22
Water Cooler,1540,9,8.2,23,2602.32
Water Cooler,378,1,7.6,12,34.66
WiFi Router,1959,3,5.8,13,441.55
LED Light,1255,17,5.6,27,3253.75
Lab Equipment,1720,8,1.1,12,177.03
Projector,1350,19,7.1,19,3451.93
Computer,993,14,3.1,17,743.28
Fridge,596,17,10.9,11,1217.05
Ceiling Fan,153,18,1.9,24,124.08
Smartboard,961,13,7.4,20,1844.01
Computer,285,18,8.3,30,1274.7
WiFi Router,1148,12,10.9,15,2262.49
AC (1.5 Ton),1071,3,10.1,19,617.11
Printer,1614,9,6.1,29,2589.33
Ceiling Fan,285,16,9.4,17,731.94
Water Cooler,1700,14,8.6,15,3081.53
LED Light,1375,19,5.8,13,1966.52
Water Cooler,734,15,3.8,30,1245.58
Smartboard,1687,11,10.5,24,4665.84
Smartboard,1030,17,4.8,15,1269.66
Smartboard,527,7,7.9,26,761.66
Ceiling Fan,877,6,8.3,21,920.74
Heater,420,5,9.8,26,533.83
LED Light,1688,3,11.4,11,636.32
Projector,1173,14,5.5,30,2706.72
Computer,1334,13,9.6,22,3649.36
Printer,303,12,6.9,29,731.19
Computer,1420,7,4.3,20,856.54
Fridge,528,8,10,30,1266.33
WiFi Router,1562,5,11.6,27,2438.68
AC (1.5 Ton),1747,13,2.9,24,1553.61
Fridge,1334,14,1.4,13,345.85
Tube Light,1522,2,3.9,25,300.09
Tube Light,1402,9,6.5,29,2387.84
Tube Light,156,18,11,20,618.25
Fridge,75,13,6.8,15,99.18
Heater,668,1,10.4,27,187.96
Fridge,716,19,7.8,23,2439.02
Printer,927,5,6.6,27,822.03
Smartboard,1383,13,10.3,13,2412.92
Lab Equipment,625,18,4.2,24,1132.22
Fridge,1944,4,3.7,14,400.1
Heater,1219,16,10,12,2334.79
Heater,1578,15,6.8,12,1928.76
Tube Light,1708,7,6.9,17,1405.35
Ceiling Fan,314,15,6.4,13,390.67
Heater,1849,1,7.8,25,362.86
Projector,168,12,11.4,11,253.12
Ceiling Fan,801,8,2.3,14,205.93
Ceiling Fan,1248,5,11,19,1309.4
Tube Light,1872,5,9.5,15,1331.09
LED Light,1543,18,12,29,9651.69
Computer,1399,9,8.8,17,1873.68
LED Light,876,1,11.3,24,238.36
Projector,1714,19,6,26,5093.68
Ceiling Fan,602,3,2.2,16,64.59
WiFi Router,829,9,8.1,19,1146.56
Ceiling Fan,1026,15,2.5,18,696.58
Water Cooler,1729,5,6.6,18,1029.55
Ceiling Fan,695,18,11.6,30,4367.22
Fridge,1461,3,11,30,1449.4
Fridge,1648,4,4.1,28,752.39
Computer,1670,19,9.2,26,7629.01
Smartboard,234,3,11.8,28,232.51
Projector,566,7,10.6,30,1258.16
Printer,165,8,2.3,29,87.85
WiFi Router,883,2,4.1,24,174.15
AC (1.5 Ton),1025,2,9.9,10,202.39
Lab Equipment,611,15,2.9,14,373.3
Tube Light,661,17,3.4,24,920.84
AC (1.5 Ton),1005,7,4.9,12,410.07
LED Light,566,6,9.6,16,523.52
Water Cooler,1047,3,12,12,450.81
Tube Light,316,3,6.4,16,97.77
Ceiling Fan,1692,2,3.5,15,177.89
Ceiling Fan,1408,18,10.2,11,2840.42
Computer,201,10,4.3,25,215.24
Lab Equipment,1362,11,10.6,12,1912.44
Lab Equipment,89,4,8.9,13,40.98
Lab Equipment,1958,10,1.6,19,607.18
Printer,1646,13,9.5,13,2655.2
Printer,380,20,4.8,20,733.58
Ceiling Fan,344,1,9.1,20,62.8
Smartboard,1823,1,5.5,11,110.36
Printer,496,11,9,22,1085.46
Lab Equipment,1722,10,1,23,404.43
Projector,152,12,2.5,23,102.89
WiFi Router,933,3,6.8,24,457.44
Heater,586,18,4.3,13,595.13
Printer,853,18,5.6,23,1963.05
LED Light,266,9,5,26,310.41
Lab Equipment,1352,1,4.8,13,83.78
AC (1.5 Ton),1031,8,7.7,25,1581.48
Ceiling Fan,1056,14,4.6,25,1692.04
Water Cooler,1217,11,10.4,10,1390.23
Lab Equipment,1056,19,2.5,12,591.85
Lab Equipment,1201,1,9.7,22,255.69
Heater,1052,12,3.9,25,1224.29
Heater,182,14,10.4,28,738.42
Computer,1780,20,9.1,26,8401.29
Printer,345,3,10.5,25,271.47
Fridge,1774,2,7.1,22,557.4
WiFi Router,1883,9,9.7,25,4094.41
Heater,738,10,7.2,16,847.92
Computer,1170,9,6.5,13,891.66
Printer,1871,6,4.7,25,1328.9
Tube Light,1423,16,11.1,24,6041.98
Fridge,1071,9,1.8,27,471.81
Fridge,1745,14,8.3,28,5675.67
WiFi Router,1826,14,5.3,23,3102.15
Ceiling Fan,1583,15,4.8,19,2186.89
Heater,926,17,4.5,23,1632.26
Smartboard,1323,14,10.5,21,4064.77
Smartboard,1993,1,7.8,22,340.77
Smartboard,1142,17,6.1,11,1297.55
Water Cooler,1006,18,9.8,20,3532.42
LED Light,688,8,6.6,14,506.15
Computer,1972,15,3.3,22,2136.08
Projector,952,19,1.4,14,367.17
Fridge,782,10,11,27,2328.7
Lab Equipment,115,12,8.7,10,120.5
LED Light,1939,14,3.5,12,1138.04
Lab Equipment,1241,17,5.1,25,2681.09
